_id,id,aula,polo,sede,day,month,year,time.start,time.end,bookingDate,googleCalendarId,,,,,,,,,,,,,
5fa940651bd2a03f4641a39c,10019,1000,1000,1000,9,11,2020,18.30,20.30,2020-11-09T13:13:09.702Z,6if77tff7h3sko2i1hrq2tibqs,,,,,,,,,,,,,
5fa94aea1bd2a03f4641a3ab,10027,1000,1000,1000,9,11,2020,16.30,18.30,2020-11-09T13:58:02.289Z,qthq3poj5lr4sjjmgca93rsd9k,,,,,,,,,,,,,
5fa94af91bd2a03f4641a3ad,10027,1000,1000,1000,9,11,2020,18.30,20.30,2020-11-09T13:58:17.568Z,469lis6rmrftqdj61det7495j8,,,,,,,,,,,,,
5fa954b61bd2a03f4641a3e2,10049,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-09T14:39:50.735Z,ag4io8kn0d8i4hnktpcjbt4rag,,,,,,,,,,,,,
5fa9552c1bd2a03f4641a3e4,10050,1001,1001,1000,9,11,2020,16.30,18.30,2020-11-09T14:41:48.283Z,r8ssedtvngngp2fh2k0v6kpaec,,,,,,,,,,,,,
5fa9553e1bd2a03f4641a3e6,10050,1001,1001,1000,9,11,2020,18.30,20.30,2020-11-09T14:42:06.886Z,gsl69e1lg0mtf75f8cr99fsdjo,,,,,,,,,,,,,
5fa959c31bd2a03f4641a3f3,10051,1001,1001,1000,12,11,2020,8.30,10.30,2020-11-09T15:01:23.832Z,4c5d24h86q9k6i3ssdo629jg3g,,,,,,,,,,,,,
5fa959ea1bd2a03f4641a3f8,10051,1001,1001,1000,12,11,2020,10.45,12.45,2020-11-09T15:02:02.178Z,ujjed0erti4rdttbvioi7lmv1c,,,,,,,,,,,,,
5fa95a071bd2a03f4641a3fa,10051,1001,1001,1000,12,11,2020,14.15,16.15,2020-11-09T15:02:31.789Z,0ll3kil6s8f26ss78lefep4aqc,,,,,,,,,,,,,
5fa95a2e1bd2a03f4641a3fc,10052,1001,1001,1000,12,11,2020,8.30,10.30,2020-11-09T15:03:10.859Z,dle38lgfe3vnijbosbgu7l8858,,,,,,,,,,,,,
5fa95baf1bd2a03f4641a428,10051,1001,1001,1000,12,11,2020,16.30,18.30,2020-11-09T15:09:35.551Z,g9aas29es13d60lhpqalm8h0lk,,,,,,,,,,,,,
5fa95c6f1bd2a03f4641a42c,10052,1001,1001,1000,12,11,2020,10.45,12.45,2020-11-09T15:12:47.420Z,ah3mvata141300u68g9ee4valc,,,,,,,,,,,,,
5fa95c801bd2a03f4641a42e,10052,1001,1001,1000,12,11,2020,14.15,16.15,2020-11-09T15:13:04.958Z,vpl86he5upnhu7hvam99jfcrr0,,,,,,,,,,,,,
5fa95c971bd2a03f4641a430,10052,1001,1001,1000,12,11,2020,16.30,18.30,2020-11-09T15:13:27.174Z,4rg52bpkpo799att8il1l5d85k,,,,,,,,,,,,,
5fa95dde1bd2a03f4641a432,10053,1000,1000,1000,9,11,2020,16.30,18.30,2020-11-09T15:18:54.229Z,l0euuuin93dbl2l1qgd4k1merc,,,,,,,,,,,,,
5fa95de61bd2a03f4641a434,10053,1000,1000,1000,9,11,2020,18.30,20.30,2020-11-09T15:19:02.054Z,nml355rubd2q55bfqe7km85dmg,,,,,,,,,,,,,
5fa965891bd2a03f4641a437,10030,1000,1000,1000,9,11,2020,18.30,20.30,2020-11-09T15:51:37.297Z,p9ublk4s51okduh52a06p0p6ac,,,,,,,,,,,,,
5fa968cf1bd2a03f4641a43f,10054,1002,1002,1000,10,11,2020,16.30,18.30,2020-11-09T16:05:35.230Z,copssp63jnssvo5gvf44n2edog,,,,,,,,,,,,,
5fa96b961bd2a03f4641a441,10042,1000,1000,1000,10,11,2020,8.30,10.30,2020-11-09T16:17:26.794Z,ok9uk3fproucc94bu0pql8gtoo,,,,,,,,,,,,,
5fa97fda1bd2a03f4641a44f,10002,1000,1000,1000,10,11,2020,8.30,10.30,2020-11-09T17:43:54.186Z,1k81i40q8ots7hksgtcpkinevk,,,,,,,,,,,,,
5fa97ff61bd2a03f4641a451,10002,1000,1000,1000,10,11,2020,10.45,12.45,2020-11-09T17:44:22.738Z,litursg17prhp454m2bqeh9v6g,,,,,,,,,,,,,
5fa980141bd2a03f4641a453,10002,1000,1000,1000,10,11,2020,14.15,16.15,2020-11-09T17:44:52.508Z,b7uruthff7jo2e2jkbk3va00pc,,,,,,,,,,,,,
5fa980211bd2a03f4641a455,10002,1000,1000,1000,10,11,2020,16.30,18.30,2020-11-09T17:45:05.707Z,21uu73gnqfgtcebt6cuvdnihps,,,,,,,,,,,,,
5fa985651bd2a03f4641a458,10004,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-09T18:07:33.047Z,9ojlufn6a843s5t62hvmnjca4s,,,,,,,,,,,,,
5fa985781bd2a03f4641a45a,10005,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-09T18:07:52.760Z,mpq63m32as5asp4kdija8v0apc,,,,,,,,,,,,,
5fa9857e1bd2a03f4641a45c,10055,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-09T18:07:58.463Z,rlq9po0ieijebh5sf17gkf7g1k,,,,,,,,,,,,,
5fa989561bd2a03f4641a45e,10029,1000,1000,1000,10,11,2020,8.30,10.30,2020-11-09T18:24:22.619Z,ucnt9v372m2p3mne2p98gl1lns,,,,,,,,,,,,,
5fa989631bd2a03f4641a460,10029,1000,1000,1000,10,11,2020,10.45,12.45,2020-11-09T18:24:35.554Z,1oe65v118ruquf2bh6hesamvt0,,,,,,,,,,,,,
5fa9897f1bd2a03f4641a462,10029,1000,1000,1000,10,11,2020,14.15,16.15,2020-11-09T18:25:03.494Z,jbrime4pe4597p3m1devmosses,,,,,,,,,,,,,
5fa991d51bd2a03f4641a464,10033,1001,1001,1000,10,11,2020,16.30,18.30,2020-11-09T19:00:37.320Z,gvcdcoo5m68ne77alq2kg76o7s,,,,,,,,,,,,,
5fa991e31bd2a03f4641a466,10033,1001,1001,1000,10,11,2020,18.30,20.30,2020-11-09T19:00:51.594Z,0l93f514rcfmack6v1qcqa5aq0,,,,,,,,,,,,,
5fa992731bd2a03f4641a468,10026,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-09T19:03:15.263Z,9b5ub76nh1qopd9dvpchdtr0o0,,,,,,,,,,,,,
5fa992801bd2a03f4641a46a,10026,1001,1001,1000,10,11,2020,10.45,12.45,2020-11-09T19:03:28.424Z,ejdli1u5kjtsprr4fh3c3k58gk,,,,,,,,,,,,,
5fa992861bd2a03f4641a46c,10056,1001,1001,1000,10,11,2020,8.30,10.30,2020-11-09T19:03:34.016Z,4759dtpuao0t8uq7kl2rf914v4,,,,,,,,,,,,,
5fa992ba1bd2a03f4641a46e,10056,1001,1001,1000,10,11,2020,10.45,12.45,2020-11-09T19:04:26.806Z,3burvetkng0s5fr33mtoob0umo,,,,,,,,,,,,,
5fa99b841bd2a03f4641a471,10057,1001,1001,1000,10,11,2020,16.30,18.30,2020-11-09T19:41:56.899Z,cctdu9rhi1c18v3h1vji17e094,,,,,,,,,,,,,
5fa99fd01bd2a03f4641a473,10007,1001,1001,1000,10,11,2020,10.45,12.45,2020-11-09T20:00:16.210Z,bih1mtfakp2m6go6bv7mjb4dto,,,,,,,,,,,,,
