_id,id,username,aula,sede,polo,inDate,date,posto,outDate
5fabe2191bd2a03f4641ab2a,80301,165,1,1,5,11/11/2020 14:07,11/11/2020 14:07,4,11/11/2020 17:07
5fabe2191bd2a03f4641ab2b,74259,474,39,1,1,11/11/2020 14:07,11/11/2020 14:07,5,11/11/2020 18:11
5fabe21f1bd2a03f4641ab2c,80985,146,1,1,5,11/11/2020 14:07,11/11/2020 14:07,5,11/11/2020 19:05
5fabe2231bd2a03f4641ab2d,78607,475,39,1,1,11/11/2020 14:07,11/11/2020 14:07,6,11/11/2020 18:11
5fabe2271bd2a03f4641ab2e,49754,476,39,1,1,11/11/2020 14:07,11/11/2020 14:07,7,11/11/2020 19:05
5fabe22a1bd2a03f4641ab2f,81257,142,1,1,5,11/11/2020 14:07,11/11/2020 14:07,6,11/11/2020 19:05
5fabe22d1bd2a03f4641ab30,72565,477,39,1,1,11/11/2020 14:07,11/11/2020 14:07,8,11/11/2020 18:06
5fabe22e1bd2a03f4641ab31,80973,366,7,1,7,11/11/2020 14:07,11/11/2020 14:07,14,11/11/2020 16:29
5fabe2321bd2a03f4641ab32,69412,478,39,1,1,11/11/2020 14:08,11/11/2020 14:08,9,11/11/2020 18:26
5fabe2351bd2a03f4641ab33,81053,368,7,1,7,11/11/2020 14:08,11/11/2020 14:08,15,11/11/2020 16:08
5fabe2371bd2a03f4641ab34,69741,452,39,1,1,11/11/2020 14:08,11/11/2020 14:08,10,11/11/2020 19:05
5fabe23b1bd2a03f4641ab35,73027,479,39,1,1,11/11/2020 14:08,11/11/2020 14:08,11,11/11/2020 18:11
5fabe24b1bd2a03f4641ab36,80187,299,1,1,5,11/11/2020 14:08,11/11/2020 14:08,7,11/11/2020 19:05
5fabe24c1bd2a03f4641ab37,81173,367,7,1,7,11/11/2020 14:08,11/11/2020 14:08,16,11/11/2020 16:08
5fabe25c1bd2a03f4641ab38,65452,480,39,1,1,11/11/2020 14:08,11/11/2020 14:08,12,11/11/2020 18:36
5fabe2ae1bd2a03f4641ab39,80232,43,7,1,7,11/11/2020 14:10,11/11/2020 14:10,17,11/11/2020 16:46
5fabe2b91bd2a03f4641ab3a,81150,375,7,1,7,11/11/2020 14:10,11/11/2020 14:10,18,11/11/2020 19:05
5fabe2bd1bd2a03f4641ab3b,80547,254,11,1,6,11/11/2020 14:10,11/11/2020 14:10,28,11/11/2020 16:17
5fabe2c81bd2a03f4641ab3c,81378,44,7,1,7,11/11/2020 14:10,11/11/2020 14:10,19,11/11/2020 19:05
5fabe2d31bd2a03f4641ab3f,511,35,5,1,3,11/11/2020 14:10,11/11/2020 14:10,6,11/11/2020 19:05
5fabe2e81bd2a03f4641ab40,81725,167,1,1,5,11/11/2020 14:11,11/11/2020 14:11,8,11/11/2020 14:13
5fabe2ed1bd2a03f4641ab41,62560,467,31,1,1,11/11/2020 14:11,11/11/2020 14:11,2,11/11/2020 19:05
5fabe2f41bd2a03f4641ab42,81713,168,1,1,5,11/11/2020 14:11,11/11/2020 14:11,9,11/11/2020 14:14
5fabe2fc1bd2a03f4641ab43,81303,166,1,1,5,11/11/2020 14:11,11/11/2020 14:11,10,11/11/2020 19:05
5fabe3881bd2a03f4641ab45,81725,167,1,1,5,11/11/2020 14:13,11/11/2020 14:13,11,11/11/2020 19:05
5fabe3c41bd2a03f4641ab46,81713,168,1,1,5,11/11/2020 14:14,11/11/2020 14:14,12,11/11/2020 19:05
5fabe3fc1bd2a03f4641ab47,81991,348,1,1,5,11/11/2020 14:15,11/11/2020 14:15,13,11/11/2020 18:59
5fabe4001bd2a03f4641ab48,78234,354,1,1,5,11/11/2020 14:15,11/11/2020 14:15,14,11/11/2020 19:05
5fabe4051bd2a03f4641ab49,78562,179,1,1,5,11/11/2020 14:15,11/11/2020 14:15,15,11/11/2020 19:05
5fabe4331bd2a03f4641ab4a,80858,147,1,1,5,11/11/2020 14:16,11/11/2020 14:16,16,11/11/2020 14:17
5fabe4521bd2a03f4641ab4b,80496,170,1,1,5,11/11/2020 14:17,11/11/2020 14:17,17,11/11/2020 17:10
5fabe45c1bd2a03f4641ab4c,80393,92,11,1,6,11/11/2020 14:17,11/11/2020 14:17,29,11/11/2020 16:18
5fabe45e1bd2a03f4641ab4d,81985,169,1,1,5,11/11/2020 14:17,11/11/2020 14:17,18,11/11/2020 19:05
5fabe4611bd2a03f4641ab4e,80663,260,11,1,6,11/11/2020 14:17,11/11/2020 14:17,30,11/11/2020 19:05
5fabe4631bd2a03f4641ab4f,80652,139,1,1,5,11/11/2020 14:17,11/11/2020 14:17,19,11/11/2020 16:30
5fabe4681bd2a03f4641ab50,80380,261,11,1,6,11/11/2020 14:17,11/11/2020 14:17,31,11/11/2020 19:05
5fabe4691bd2a03f4641ab51,81611,356,1,1,5,11/11/2020 14:17,11/11/2020 14:17,20,11/11/2020 19:05
5fabe46c1bd2a03f4641ab52,80969,258,11,1,6,11/11/2020 14:17,11/11/2020 14:17,32,11/11/2020 19:05
